name,url
Release 2.0 GDMO (1999/04/09),https://numberportability.com/documents/2175/gdmov2_0_1_040999_6nDKn9U.txt
Release 2.0 Change Order Requirements,https://numberportability.com/documents/2907/Release_2.0_Change_Order_Req_eoafa1q.pdf
Release 2.0 IIS flows (1998/04/30),https://numberportability.com/documents/2158/release2_iis_flows_4-30-98_C85fMHI.pdf
Release 2.0 IIS - Part 3 (1999/04/09),https://numberportability.com/documents/2174/iis2.0.1part3-word7.0_040999_NuTZCYA.pdf
Release 2.0 IIS - Part 2 (1999/04/09),https://numberportability.com/documents/2172/iis2.0.1part2-word7.0_040999_y0dCH7o.pdf
Release 2.0 IIS - Part 1 (1999/04/09),https://numberportability.com/documents/2170/iis2.0.1part1-word7.0_040999_So3dSHm.pdf
Release 2.0 FRS (1999/09/01),https://numberportability.com/documents/2166/nancfrs2.0.2-090199_4e2cTVX.pdf
