name,url
NANC 147—Version ID Rollover Strategy,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+147&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 355—Modification of NPA-NXX Effective Date ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+355&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 396—NPAC Filter Management—NPA-NXX Filters ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+396&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 397—Large Volume Port Transaction and SOA Throughput ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+397&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 408—SPID Migration Automation Change ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+408&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 414—Validation of Code Ownership in the NPAC ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+414&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 416—BDD File for Notifications—Adding New Attributes ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+416&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 418—Post-SPID Migration SV Counts ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+418&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 421—ASN.1 and GDMO Updates for Prepaid Wireless SV Type ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+421&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 424—Number Pool Block (NPB) Donor Discount Notification Priority Indicator ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+424&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 426—Provide Modify Request Data to the SOA from Mass Updates ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+426&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 427—Error Reduction for DPC Entries in New Ported and Pooled Records ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+427&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 428—Update NPAC File Transfer Method from FTP to Secure-FTP ,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+428&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 433—VoIP SV Type,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+433&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
NANC 434—VoIP SP Type,https://numberportability.comhttps://workinggroup.numberportability.com/change-orders/?search=NANC+434&return-url=%2Fnanc-change-orders%2F&start_date=&end_date=
Release 3.4 GDMO,https://numberportability.com/documents/2357/lnp.mo_v_3_4_1_2012_05_18_ierOWmz.txt
Release 3.4 ASN.1,https://numberportability.com/documents/2347/lnp.asn_v_3_4_0_2010_05_28_jaIkgkZ.txt
Release 3.4 SOW 73 Project Plan (MS Word - 2011/02/28),https://numberportability.com/documents/2857/sow73externalprojectplan2-28-11_9t01AnS.docx
Release 3.4 ITP Test Case List,https://numberportability.com/documents/5095/Release_3.4_ITP_Test_Case_List_DMBmBZG.docx
Release 3.4 Interoperability Test Plan,https://numberportability.com/documents/2863/Release_3.4_Interoperability_Test_Plan_mUZdh9Y.docx
