name,url
Release 3.0 GDMO (2000/05/12),https://numberportability.com/documents/2911/Release_3.0_GDMO_051200_kOnOGff.txt
Release 3.0 ASN1 (2000/04/17),https://numberportability.com/documents/2908/Release_3.0_ASN1_041700_8AURRws.txt
Release 3.0 LTI Number Pooling,https://numberportability.com/documents/2916/Release_3.0_LTI_Number_Pooling_9KN7RwK.pdf
Release 3.0 IIS - Part 2 (2000/12/04),https://numberportability.com/documents/2915/Release_3.0_IIS_-_Part_2_120400_hUwvwU5.pdf
Release 3.0 IIS - Part 1 (2000/12/04),https://numberportability.com/documents/2913/Release_3.0_IIS_-_Part_1_120400_jWPw7gq.pdf
Release 3.0 FRS (2001/03/19),https://numberportability.com/documents/2910/Release_3.0_FRS_031901_dO9aRKz.pdf
