name,url
Release 1.0 GDMO (1999/05/03),https://numberportability.com/documents/2920/Release_1.0_GDMO_050399_2awMlaG.txt
Release 1.0 ASN1 (1999/04/09),https://numberportability.com/documents/2917/Release_1.0_ASN1_040999_zLFDOND.txt
Release 1.0 IIS - Part 2,https://numberportability.com/documents/2924/Release_1.0_IIS_-_Part_2_BkAHRk2.pdf
Release 1.0 IIS - Part 1,https://numberportability.com/documents/2922/Release_1.0_IIS_-_Part_1_EBzQe7t.pdf
Release 1.0 FRS,https://numberportability.com/documents/2919/Release_1.0_FRS_uTpRmXR.pdf
